date,tc,rh,sr,ws,wd,code
2018-10-01 00:00:00,,,,,,279
2018-10-01 01:00:00,18.0,95.0,2.0,0.7,112.0,279
2018-10-01 02:00:00,18.0,95.0,2.0,0.9,103.0,279
2018-10-01 03:00:00,18.0,95.0,2.0,1.4,106.0,279
2018-10-01 04:00:00,17.9,95.0,2.0,1.1,107.0,279
2018-10-01 05:00:00,18.0,96.0,2.0,1.2,104.0,279
2018-10-01 06:00:00,18.1,96.0,2.0,0.9,131.0,279
2018-10-01 07:00:00,18.3,96.0,24.0,1.0,134.0,279
2018-10-01 08:00:00,18.8,96.0,57.0,0.8,272.0,279
2018-10-01 09:00:00,19.3,96.0,43.0,1.0,308.0,279
2018-10-01 10:00:00,20.1,96.0,126.0,1.0,339.0,279
2018-10-01 11:00:00,21.3,96.0,362.0,1.8,351.0,279
2018-10-01 12:00:00,23.6,90.0,664.0,1.9,348.0,279
2018-10-01 13:00:00,25.1,70.0,311.0,3.0,326.0,279
2018-10-01 14:00:00,25.7,62.0,422.0,2.9,316.0,279
2018-10-01 15:00:00,26.9,55.0,466.0,3.3,317.0,279
2018-10-01 16:00:00,26.3,56.0,150.0,2.4,316.0,279
2018-10-01 17:00:00,23.4,66.0,29.0,2.5,284.0,279
2018-10-01 18:00:00,19.8,84.0,61.0,1.3,352.0,279
2018-10-01 19:00:00,19.7,86.0,7.0,1.1,10.0,279
2018-10-01 20:00:00,19.2,87.0,2.0,0.9,84.0,279
2018-10-01 21:00:00,19.0,88.0,1.0,0.9,84.0,279
2018-10-01 22:00:00,18.7,89.0,1.0,1.1,76.0,279
2018-10-01 23:00:00,18.5,90.0,1.0,1.4,98.0,279
2018-10-02 00:00:00,18.1,90.0,1.0,1.2,103.0,279
2018-10-02 01:00:00,17.7,90.0,1.0,1.1,99.0,279
2018-10-02 02:00:00,17.4,91.0,1.0,1.1,106.0,279
2018-10-02 03:00:00,17.2,91.0,1.0,1.2,131.0,279
2018-10-02 04:00:00,17.1,91.0,1.0,1.0,107.0,279
2018-10-02 05:00:00,16.8,92.0,1.0,0.8,98.0,279
2018-10-02 06:00:00,16.5,92.0,4.0,0.8,99.0,279
2018-10-02 07:00:00,17.0,92.0,40.0,1.2,95.0,279
2018-10-02 08:00:00,18.7,93.0,131.0,1.8,123.0,279
2018-10-02 09:00:00,20.0,92.0,166.0,1.5,120.0,279
2018-10-02 10:00:00,22.8,89.0,637.0,1.1,58.0,279
2018-10-02 11:00:00,27.1,69.0,913.0,1.3,282.0,279
2018-10-02 12:00:00,29.4,51.0,979.0,1.5,352.0,279
2018-10-02 13:00:00,31.0,44.0,851.0,1.7,357.0,279
2018-10-02 14:00:00,31.8,40.0,782.0,2.1,122.0,279
2018-10-02 15:00:00,34.2,33.0,730.0,1.5,121.0,279
2018-10-02 16:00:00,30.5,39.0,143.0,1.8,127.0,279
2018-10-02 17:00:00,26.8,65.0,173.0,2.9,126.0,279
2018-10-02 18:00:00,23.6,79.0,37.0,2.3,115.0,279
2018-10-02 19:00:00,22.5,82.0,1.0,1.3,103.0,279
2018-10-02 20:00:00,22.0,84.0,1.0,1.3,186.0,279
2018-10-02 21:00:00,21.5,84.0,1.0,0.8,108.0,279
2018-10-02 22:00:00,21.4,84.0,1.0,1.6,122.0,279
2018-10-02 23:00:00,21.1,84.0,0.0,1.3,135.0,279
2018-10-03 00:00:00,20.8,85.0,1.0,1.5,124.0,279
2018-10-03 01:00:00,20.5,86.0,1.0,1.3,133.0,279
2018-10-03 02:00:00,20.1,86.0,0.0,0.9,106.0,279
2018-10-03 03:00:00,20.0,87.0,1.0,0.9,105.0,279
2018-10-03 04:00:00,19.7,88.0,1.0,1.0,104.0,279
2018-10-03 05:00:00,19.5,88.0,1.0,0.8,95.0,279
2018-10-03 06:00:00,19.4,89.0,2.0,1.1,101.0,279
2018-10-03 07:00:00,19.7,90.0,40.0,1.2,97.0,279
2018-10-03 08:00:00,21.3,89.0,117.0,1.9,100.0,279
2018-10-03 09:00:00,23.2,85.0,120.0,1.5,108.0,279
2018-10-03 10:00:00,26.3,70.0,591.0,1.2,85.0,279
2018-10-03 11:00:00,29.9,49.0,879.0,1.6,19.0,279
2018-10-03 12:00:00,31.1,41.0,968.0,3.1,321.0,279
2018-10-03 13:00:00,32.2,38.0,816.0,3.2,320.0,279
2018-10-03 14:00:00,32.4,37.0,792.0,3.5,318.0,279
2018-10-03 15:00:00,32.3,35.0,421.0,3.4,312.0,279
2018-10-03 16:00:00,28.8,50.0,156.0,2.4,290.0,279
2018-10-03 17:00:00,22.2,81.0,13.0,2.0,121.0,279
2018-10-03 18:00:00,21.5,85.0,3.0,1.7,163.0,279
2018-10-03 19:00:00,21.2,87.0,0.0,1.9,118.0,279
2018-10-03 20:00:00,20.8,88.0,1.0,2.3,111.0,279
2018-10-03 21:00:00,20.8,90.0,1.0,2.5,86.0,279
2018-10-03 22:00:00,20.7,91.0,1.0,2.6,98.0,279
2018-10-03 23:00:00,20.7,91.0,1.0,1.9,111.0,279
2018-10-04 00:00:00,20.5,91.0,1.0,0.9,120.0,279
2018-10-04 01:00:00,20.3,92.0,1.0,1.1,118.0,279
2018-10-04 02:00:00,20.2,92.0,1.0,1.4,115.0,279
2018-10-04 03:00:00,19.9,92.0,2.0,1.6,126.0,279
2018-10-04 04:00:00,19.7,92.0,2.0,1.5,127.0,279
2018-10-04 05:00:00,19.8,92.0,2.0,1.8,131.0,279
2018-10-04 06:00:00,19.6,92.0,3.0,1.2,112.0,279
2018-10-04 07:00:00,19.9,92.0,28.0,1.6,127.0,279
2018-10-04 08:00:00,20.3,91.0,66.0,1.4,114.0,279
2018-10-04 09:00:00,20.4,89.0,55.0,1.8,128.0,279
2018-10-04 10:00:00,20.5,88.0,88.0,1.4,207.0,279
2018-10-04 11:00:00,21.4,83.0,228.0,1.2,888.0,279
2018-10-04 12:00:00,21.8,77.0,220.0,1.9,216.0,279
2018-10-04 13:00:00,22.2,72.0,164.0,1.6,199.0,279
2018-10-04 14:00:00,22.9,69.0,240.0,1.5,207.0,279
2018-10-04 15:00:00,22.1,71.0,123.0,1.4,131.0,279
2018-10-04 16:00:00,21.3,75.0,150.0,1.5,76.0,279
2018-10-04 17:00:00,20.6,75.0,116.0,1.7,79.0,279
2018-10-04 18:00:00,19.3,79.0,21.0,1.8,92.0,279
2018-10-04 19:00:00,18.7,82.0,2.0,1.5,888.0,279
2018-10-04 20:00:00,18.3,84.0,2.0,1.4,166.0,279
2018-10-04 21:00:00,18.1,85.0,2.0,1.5,89.0,279
2018-10-04 22:00:00,18.0,86.0,2.0,2.0,110.0,279
2018-10-04 23:00:00,17.8,86.0,2.0,1.5,97.0,279
2018-10-05 00:00:00,17.4,86.0,2.0,1.1,888.0,279
2018-10-05 01:00:00,17.2,87.0,2.0,1.3,115.0,279
2018-10-05 02:00:00,17.0,87.0,2.0,2.0,121.0,279
2018-10-05 03:00:00,16.9,88.0,2.0,1.5,113.0,279
2018-10-05 04:00:00,16.7,89.0,2.0,1.8,116.0,279
2018-10-05 05:00:00,16.8,89.0,2.0,1.9,123.0,279
2018-10-05 06:00:00,16.9,89.0,3.0,2.5,132.0,279
2018-10-05 07:00:00,16.8,89.0,36.0,4.2,133.0,279
2018-10-05 08:00:00,16.5,88.0,101.0,4.6,133.0,279
2018-10-05 09:00:00,16.8,86.0,143.0,4.1,132.0,279
2018-10-05 10:00:00,16.8,84.0,161.0,4.2,133.0,279
2018-10-05 11:00:00,16.9,82.0,211.0,4.7,131.0,279
2018-10-05 12:00:00,17.0,81.0,179.0,3.4,130.0,279
2018-10-05 13:00:00,17.0,79.0,164.0,3.7,131.0,279
2018-10-05 14:00:00,17.3,79.0,218.0,3.9,127.0,279
2018-10-05 15:00:00,17.1,79.0,127.0,4.1,131.0,279
2018-10-05 16:00:00,16.4,82.0,104.0,4.5,131.0,279
2018-10-05 17:00:00,15.9,84.0,47.0,4.4,131.0,279
2018-10-05 18:00:00,15.1,86.0,12.0,4.6,133.0,279
2018-10-05 19:00:00,14.6,87.0,3.0,4.7,132.0,279
2018-10-05 20:00:00,14.4,87.0,2.0,4.2,132.0,279
2018-10-05 21:00:00,13.8,87.0,2.0,4.6,132.0,279
2018-10-05 22:00:00,13.9,85.0,2.0,4.2,132.0,279
2018-10-05 23:00:00,14.2,81.0,2.0,3.2,131.0,279
2018-10-06 00:00:00,14.4,78.0,2.0,3.1,126.0,279
2018-10-06 01:00:00,14.4,77.0,2.0,2.8,130.0,279
2018-10-06 02:00:00,14.3,78.0,2.0,3.3,130.0,279
2018-10-06 03:00:00,14.0,80.0,2.0,2.9,117.0,279
2018-10-06 04:00:00,14.0,80.0,2.0,2.6,114.0,279
2018-10-06 05:00:00,14.1,81.0,2.0,2.6,118.0,279
2018-10-06 06:00:00,14.1,83.0,3.0,2.4,114.0,279
2018-10-06 07:00:00,14.3,84.0,15.0,2.6,118.0,279
2018-10-06 08:00:00,14.5,84.0,39.0,3.0,112.0,279
2018-10-06 09:00:00,15.2,82.0,130.0,3.3,113.0,279
2018-10-06 10:00:00,15.9,79.0,153.0,2.6,103.0,279
2018-10-06 11:00:00,16.5,76.0,204.0,3.4,109.0,279
2018-10-06 12:00:00,17.0,74.0,145.0,2.8,106.0,279
2018-10-06 13:00:00,17.3,72.0,151.0,3.0,111.0,279
2018-10-06 14:00:00,17.7,71.0,138.0,3.1,107.0,279
2018-10-06 15:00:00,16.8,76.0,53.0,3.4,123.0,279
2018-10-06 16:00:00,16.2,84.0,35.0,3.0,128.0,279
2018-10-06 17:00:00,15.8,87.0,17.0,2.9,129.0,279
2018-10-06 18:00:00,15.4,89.0,6.0,3.3,130.0,279
2018-10-06 19:00:00,15.2,91.0,2.0,3.3,111.0,279
2018-10-06 20:00:00,15.0,92.0,2.0,3.3,108.0,279
2018-10-06 21:00:00,15.0,93.0,2.0,4.0,109.0,279
2018-10-06 22:00:00,14.9,93.0,2.0,4.0,105.0,279
2018-10-06 23:00:00,15.0,94.0,2.0,3.6,104.0,279
2018-10-07 00:00:00,15.0,94.0,3.0,3.6,106.0,279
2018-10-07 01:00:00,15.1,94.0,3.0,3.1,111.0,279
2018-10-07 02:00:00,15.0,94.0,3.0,3.1,105.0,279
2018-10-07 03:00:00,15.0,94.0,3.0,2.7,106.0,279
2018-10-07 04:00:00,15.0,94.0,3.0,2.7,104.0,279
2018-10-07 05:00:00,15.0,94.0,3.0,2.5,99.0,279
2018-10-07 06:00:00,15.0,94.0,3.0,2.2,105.0,279
2018-10-07 07:00:00,15.2,94.0,32.0,1.7,95.0,279
2018-10-07 08:00:00,15.4,94.0,63.0,2.3,98.0,279
2018-10-07 09:00:00,15.7,94.0,61.0,2.6,102.0,279
2018-10-07 10:00:00,15.7,94.0,54.0,2.1,101.0,279
2018-10-07 11:00:00,16.4,93.0,156.0,1.8,102.0,279
2018-10-07 12:00:00,17.2,93.0,241.0,2.0,100.0,279
2018-10-07 13:00:00,18.4,91.0,199.0,1.5,100.0,279
2018-10-07 14:00:00,18.4,89.0,128.0,1.9,130.0,279
2018-10-07 15:00:00,18.6,88.0,69.0,2.0,128.0,279
2018-10-07 16:00:00,18.5,87.0,40.0,2.3,118.0,279
2018-10-07 17:00:00,17.8,87.0,26.0,2.4,130.0,279
2018-10-07 18:00:00,17.4,89.0,10.0,1.8,131.0,279
2018-10-07 19:00:00,17.2,90.0,2.0,2.1,130.0,279
2018-10-07 20:00:00,17.1,91.0,2.0,2.8,132.0,279
2018-10-07 21:00:00,17.3,92.0,2.0,1.9,134.0,279
2018-10-07 22:00:00,17.5,92.0,2.0,0.9,105.0,279
2018-10-07 23:00:00,17.5,92.0,2.0,0.9,96.0,279
2018-10-08 00:00:00,17.4,93.0,2.0,1.1,111.0,279
2018-10-08 01:00:00,17.3,93.0,2.0,1.3,103.0,279
2018-10-08 02:00:00,17.2,93.0,2.0,1.2,97.0,279
2018-10-08 03:00:00,17.1,93.0,2.0,1.1,99.0,279
2018-10-08 04:00:00,17.3,93.0,2.0,1.1,105.0,279
2018-10-08 05:00:00,17.4,94.0,2.0,1.5,105.0,279
2018-10-08 06:00:00,17.3,94.0,3.0,1.7,105.0,279
2018-10-08 07:00:00,17.4,94.0,21.0,1.4,100.0,279
2018-10-08 08:00:00,17.9,94.0,53.0,1.6,103.0,279
2018-10-08 09:00:00,18.4,94.0,86.0,1.4,104.0,279
2018-10-08 10:00:00,19.1,95.0,128.0,1.2,103.0,279
2018-10-08 11:00:00,19.8,95.0,206.0,1.7,100.0,279
2018-10-08 12:00:00,20.0,95.0,161.0,1.8,101.0,279
2018-10-08 13:00:00,20.7,95.0,195.0,1.4,102.0,279
2018-10-08 14:00:00,20.8,94.0,117.0,1.3,98.0,279
2018-10-08 15:00:00,20.6,94.0,108.0,2.1,102.0,279
2018-10-08 16:00:00,20.2,94.0,63.0,2.5,98.0,279
2018-10-08 17:00:00,19.9,94.0,66.0,2.2,102.0,279
2018-10-08 18:00:00,19.7,94.0,29.0,2.5,101.0,279
2018-10-08 19:00:00,19.5,94.0,3.0,2.3,95.0,279
2018-10-08 20:00:00,19.4,94.0,2.0,2.7,96.0,279
