date,o3,no,no2,co,pm10,pm2.5,code
2018-10-01 00:00:00,,,,,,,99
2018-10-01 01:00:00,0.0,15.0,61.0,0.7,6.0,17.0,99
2018-10-01 02:00:00,4.0,6.0,52.0,0.5,9.0,15.0,99
2018-10-01 03:00:00,0.0,17.0,55.0,0.5,13.0,12.0,99
2018-10-01 04:00:00,7.0,7.0,43.0,0.4,16.0,13.0,99
2018-10-01 05:00:00,19.0,5.0,30.0,0.3,14.0,12.0,99
2018-10-01 06:00:00,1.0,38.0,58.0,0.4,17.0,9.0,99
2018-10-01 07:00:00,0.0,122.0,69.0,1.1,27.0,15.0,99
2018-10-01 08:00:00,0.0,96.0,75.0,1.0,47.0,23.0,99
2018-10-01 09:00:00,2.0,78.0,74.0,1.2,39.0,23.0,99
2018-10-01 10:00:00,9.0,56.0,66.0,1.1,27.0,24.0,99
2018-10-01 11:00:00,22.0,32.0,55.0,0.9,29.0,21.0,99
2018-10-01 12:00:00,37.0,21.0,53.0,0.8,29.0,18.0,99
2018-10-01 13:00:00,52.0,18.0,49.0,0.7,24.0,17.0,99
2018-10-01 14:00:00,64.0,14.0,49.0,0.6,29.0,24.0,99
2018-10-01 15:00:00,66.0,14.0,56.0,0.6,34.0,16.0,99
2018-10-01 16:00:00,55.0,8.0,45.0,0.5,27.0,23.0,99
2018-10-01 17:00:00,19.0,34.0,87.0,1.1,24.0,15.0,99
2018-10-01 18:00:00,10.0,40.0,89.0,1.2,23.0,7.0,99
2018-10-01 19:00:00,1.0,44.0,78.0,1.2,27.0,12.0,99
2018-10-01 20:00:00,0.0,157.0,96.0,1.9,33.0,15.0,99
2018-10-01 21:00:00,0.0,206.0,95.0,2.1,44.0,24.0,99
2018-10-01 22:00:00,0.0,150.0,72.0,2.2,51.0,23.0,99
2018-10-01 23:00:00,0.0,188.0,67.0,2.3,31.0,26.0,99
2018-10-02 00:00:00,0.0,280.0,85.0,2.5,39.0,38.0,99
2018-10-02 01:00:00,0.0,246.0,70.0,2.3,52.0,46.0,99
2018-10-02 02:00:00,0.0,258.0,72.0,2.1,52.0,36.0,99
2018-10-02 03:00:00,0.0,207.0,63.0,1.7,51.0,36.0,99
2018-10-02 04:00:00,0.0,264.0,64.0,1.7,45.0,33.0,99
2018-10-02 05:00:00,0.0,230.0,59.0,1.5,38.0,37.0,99
2018-10-02 06:00:00,0.0,252.0,65.0,1.4,43.0,31.0,99
2018-10-02 07:00:00,0.0,121.0,68.0,1.0,35.0,27.0,99
2018-10-02 08:00:00,0.0,152.0,85.0,1.2,50.0,33.0,99
2018-10-02 09:00:00,2.0,123.0,111.0,1.2,54.0,27.0,99
2018-10-02 10:00:00,10.0,71.0,118.0,1.2,50.0,20.0,99
2018-10-02 11:00:00,45.0,23.0,100.0,0.8,46.0,18.0,99
2018-10-02 12:00:00,77.0,8.0,39.0,0.5,17.0,27.0,99
2018-10-02 13:00:00,83.0,9.0,38.0,0.5,6.0,27.0,99
2018-10-02 14:00:00,94.0,7.0,36.0,0.4,8.0,16.0,99
2018-10-02 15:00:00,101.0,7.0,45.0,0.4,19.0,16.0,99
2018-10-02 16:00:00,109.0,1.0,42.0,0.4,28.0,25.0,99
2018-10-02 17:00:00,117.0,0.0,52.0,0.5,57.0,43.0,99
2018-10-02 18:00:00,94.0,0.0,63.0,0.6,59.0,41.0,99
2018-10-02 19:00:00,76.0,0.0,57.0,0.6,52.0,26.0,99
2018-10-02 20:00:00,98.0,0.0,35.0,0.5,46.0,17.0,99
2018-10-02 21:00:00,55.0,20.0,73.0,0.7,38.0,15.0,99
2018-10-02 22:00:00,54.0,3.0,61.0,0.7,37.0,20.0,99
2018-10-02 23:00:00,49.0,2.0,63.0,0.7,33.0,28.0,99
2018-10-03 00:00:00,44.0,1.0,63.0,0.6,28.0,21.0,99
