date,tc,rh,sr,ws,wd,code
2014-09-01 00:00:00,,,,,,113
2014-09-01 01:00:00,16.9,89.0,,1.4,125.0,113
2014-09-01 02:00:00,16.8,91.0,,2.4,102.0,113
2014-09-01 03:00:00,17.2,89.0,,3.0,78.0,113
2014-09-01 04:00:00,17.1,88.0,,1.6,82.0,113
2014-09-01 05:00:00,16.9,90.0,,1.6,121.0,113
2014-09-01 06:00:00,17.1,89.0,,1.2,888.0,113
2014-09-01 07:00:00,17.2,91.0,,2.3,888.0,113
2014-09-01 08:00:00,17.2,93.0,,3.2,36.0,113
2014-09-01 09:00:00,17.5,94.0,,3.0,323.0,113
2014-09-01 10:00:00,17.5,94.0,,2.6,337.0,113
2014-09-01 11:00:00,17.7,91.0,,5.4,25.0,113
2014-09-01 12:00:00,19.8,76.0,,2.3,34.0,113
2014-09-01 13:00:00,22.5,68.0,,1.6,22.0,113
2014-09-01 14:00:00,25.0,58.0,,1.7,280.0,113
2014-09-01 15:00:00,26.5,52.0,,2.2,293.0,113
2014-09-01 16:00:00,27.5,46.0,,2.9,292.0,113
2014-09-01 17:00:00,26.2,53.0,,2.6,301.0,113
2014-09-01 18:00:00,25.8,53.0,,1.9,284.0,113
2014-09-01 19:00:00,24.1,61.0,,0.7,105.0,113
2014-09-01 20:00:00,22.4,69.0,,0.6,16.0,113
2014-09-01 21:00:00,20.7,78.0,,1.0,81.0,113
2014-09-01 22:00:00,20.0,82.0,,1.3,102.0,113
2014-09-01 23:00:00,19.2,86.0,,1.6,95.0,113
2014-09-02 00:00:00,18.5,89.0,,1.6,100.0,113
2014-09-02 01:00:00,18.3,90.0,,1.8,97.0,113
2014-09-02 02:00:00,17.9,92.0,,2.1,103.0,113
2014-09-02 03:00:00,17.5,94.0,,2.1,105.0,113
2014-09-02 04:00:00,17.2,94.0,,2.1,102.0,113
2014-09-02 05:00:00,16.8,95.0,,2.2,105.0,113
2014-09-02 06:00:00,16.6,94.0,,2.2,110.0,113
2014-09-02 07:00:00,16.5,95.0,,1.3,109.0,113
2014-09-02 08:00:00,17.6,90.0,,1.2,129.0,113
2014-09-02 09:00:00,20.6,78.0,,2.1,114.0,113
2014-09-02 10:00:00,23.2,68.0,,2.2,112.0,113
2014-09-02 11:00:00,26.1,57.0,,2.7,127.0,113
2014-09-02 12:00:00,29.3,44.0,,2.4,131.0,113
2014-09-02 13:00:00,30.9,40.0,,2.0,888.0,113
2014-09-02 14:00:00,31.8,37.0,,2.0,351.0,113
2014-09-02 15:00:00,32.5,34.0,,1.9,324.0,113
2014-09-02 16:00:00,32.7,34.0,,1.9,336.0,113
2014-09-02 17:00:00,32.5,35.0,,1.6,280.0,113
2014-09-02 18:00:00,31.6,37.0,,1.4,242.0,113
2014-09-02 19:00:00,29.0,46.0,,0.7,103.0,113
2014-09-02 20:00:00,27.5,50.0,,1.3,91.0,113
2014-09-02 21:00:00,26.5,53.0,,2.1,94.0,113
2014-09-02 22:00:00,24.4,67.0,,5.6,283.0,113
2014-09-02 23:00:00,20.8,89.0,,2.0,89.0,113
2014-09-03 00:00:00,19.7,86.0,,7.7,198.0,113
2014-09-03 01:00:00,17.6,91.0,,5.9,188.0,113
2014-09-03 02:00:00,17.4,92.0,,4.0,141.0,113
2014-09-03 03:00:00,,,,3.6,132.0,113
2014-09-03 04:00:00,,,,4.1,134.0,113
2014-09-03 05:00:00,,,,4.4,57.0,113
2014-09-03 06:00:00,17.4,91.0,,3.3,23.0,113
2014-09-03 07:00:00,,,,2.5,30.0,113
2014-09-03 08:00:00,,,,2.3,99.0,113
2014-09-03 09:00:00,,,,2.4,113.0,113
2014-09-03 10:00:00,,72.0,,2.2,60.0,113
2014-09-03 11:00:00,24.4,63.0,,2.1,12.0,113
2014-09-03 12:00:00,25.1,59.0,,2.9,278.0,113
2014-09-03 13:00:00,25.4,61.0,,2.9,251.0,113
2014-09-03 14:00:00,25.8,60.0,,3.1,276.0,113
2014-09-03 15:00:00,26.7,57.0,,2.2,277.0,113
2014-09-03 16:00:00,27.1,55.0,,2.7,255.0,113
2014-09-03 17:00:00,27.0,54.0,,2.6,222.0,113
2014-09-03 18:00:00,26.8,53.0,,2.3,227.0,113
2014-09-03 19:00:00,25.9,58.0,,1.9,208.0,113
2014-09-03 20:00:00,23.8,68.0,,4.9,192.0,113
2014-09-03 21:00:00,,66.0,,5.7,188.0,113
2014-09-03 22:00:00,,63.0,,4.6,188.0,113
2014-09-03 23:00:00,19.1,68.0,,2.8,185.0,113
2014-09-04 00:00:00,18.7,70.0,,2.6,192.0,113
2014-09-04 01:00:00,18.2,72.0,,1.3,162.0,113
2014-09-04 02:00:00,18.2,72.0,,2.2,182.0,113
2014-09-04 03:00:00,17.5,76.0,,2.5,192.0,113
2014-09-04 04:00:00,16.9,79.0,,2.4,211.0,113
2014-09-04 05:00:00,16.5,82.0,,2.8,201.0,113
2014-09-04 06:00:00,16.2,82.0,,2.8,200.0,113
2014-09-04 07:00:00,16.3,81.0,,2.7,211.0,113
2014-09-04 08:00:00,16.8,80.0,,3.2,209.0,113
2014-09-04 09:00:00,17.5,76.0,,3.9,200.0,113
2014-09-04 10:00:00,18.5,71.0,,3.4,181.0,113
2014-09-04 11:00:00,,58.0,,4.0,185.0,113
2014-09-04 12:00:00,,52.0,,5.4,149.0,113
2014-09-04 13:00:00,22.7,48.0,,5.4,155.0,113
2014-09-04 14:00:00,23.0,47.0,,5.1,162.0,113
2014-09-04 15:00:00,23.3,44.0,,5.4,182.0,113
2014-09-04 16:00:00,23.1,45.0,,5.2,177.0,113
2014-09-04 17:00:00,22.5,46.0,,5.4,181.0,113
2014-09-04 18:00:00,,48.0,,5.6,180.0,113
2014-09-04 19:00:00,19.6,57.0,,5.2,185.0,113
2014-09-04 20:00:00,18.2,64.0,,5.7,178.0,113
2014-09-04 21:00:00,17.2,68.0,,4.8,175.0,113
2014-09-04 22:00:00,16.6,72.0,,3.5,169.0,113
2014-09-04 23:00:00,16.2,74.0,,3.1,163.0,113
2014-09-05 00:00:00,15.8,76.0,,2.5,167.0,113
2014-09-05 01:00:00,15.6,76.0,,2.2,171.0,113
2014-09-05 02:00:00,15.1,78.0,,2.0,160.0,113
2014-09-05 03:00:00,15.0,78.0,,2.5,162.0,113
2014-09-05 04:00:00,15.0,77.0,,2.6,172.0,113
2014-09-05 05:00:00,14.9,77.0,,2.8,171.0,113
2014-09-05 06:00:00,14.8,76.0,,2.8,163.0,113
2014-09-05 07:00:00,14.6,78.0,,2.4,158.0,113
2014-09-05 08:00:00,16.0,72.0,,2.6,158.0,113
2014-09-05 09:00:00,17.9,64.0,,3.5,142.0,113
2014-09-05 10:00:00,,53.0,,4.1,135.0,113
2014-09-05 11:00:00,,46.0,,3.7,131.0,113
2014-09-05 12:00:00,23.2,43.0,,3.3,168.0,113
2014-09-05 13:00:00,,,,3.5,128.0,113
2014-09-05 14:00:00,,,,,,113
2014-09-05 15:00:00,,,,,,113
2014-09-05 16:00:00,,,,,,113
2014-09-05 17:00:00,,,,3.0,175.0,113
2014-09-05 18:00:00,26.2,33.0,,2.8,171.0,113
2014-09-05 19:00:00,24.4,38.0,,2.7,163.0,113
2014-09-05 20:00:00,,46.0,,3.2,170.0,113
2014-09-05 21:00:00,20.1,62.0,,3.3,174.0,113
2014-09-05 22:00:00,18.6,68.0,,3.4,154.0,113
2014-09-05 23:00:00,17.6,71.0,,2.7,157.0,113
2014-09-06 00:00:00,16.8,75.0,,2.0,152.0,113
2014-09-06 01:00:00,15.7,80.0,,1.4,127.0,113
2014-09-06 02:00:00,14.6,84.0,,1.3,57.0,113
2014-09-06 03:00:00,13.6,89.0,,1.1,74.0,113
2014-09-06 04:00:00,12.6,92.0,,1.3,74.0,113
2014-09-06 05:00:00,11.8,95.0,,1.5,99.0,113
2014-09-06 06:00:00,11.5,95.0,,1.7,100.0,113
2014-09-06 07:00:00,11.4,95.0,,2.0,101.0,113
2014-09-06 08:00:00,13.0,86.0,,2.5,109.0,113
2014-09-06 09:00:00,16.4,66.0,,2.8,114.0,113
2014-09-06 10:00:00,,48.0,,3.5,110.0,113
2014-09-06 11:00:00,22.3,42.0,,4.7,50.0,113
2014-09-06 12:00:00,24.1,38.0,,4.5,64.0,113
2014-09-06 13:00:00,26.2,34.0,,3.8,60.0,113
2014-09-06 14:00:00,27.5,28.0,,3.4,34.0,113
2014-09-06 15:00:00,28.4,25.0,,2.9,62.0,113
2014-09-06 16:00:00,28.5,25.0,,2.2,64.0,113
2014-09-06 17:00:00,28.5,26.0,,2.2,97.0,113
2014-09-06 18:00:00,27.7,29.0,,1.8,86.0,113
2014-09-06 19:00:00,25.4,35.0,,1.9,92.0,113
2014-09-06 20:00:00,23.0,43.0,,2.0,114.0,113
2014-09-06 21:00:00,21.9,45.0,,2.1,103.0,113
2014-09-06 22:00:00,21.1,48.0,,2.2,101.0,113
2014-09-06 23:00:00,19.7,53.0,,2.4,99.0,113
2014-09-07 00:00:00,18.5,58.0,,1.7,84.0,113
2014-09-07 01:00:00,18.0,59.0,,1.9,94.0,113
2014-09-07 02:00:00,,,,1.9,98.0,113
2014-09-07 03:00:00,,,,2.5,95.0,113
2014-09-07 04:00:00,,65.0,,2.7,102.0,113
2014-09-07 05:00:00,15.2,71.0,,2.5,97.0,113
2014-09-07 06:00:00,14.9,72.0,,2.7,97.0,113
2014-09-07 07:00:00,14.9,72.0,,2.8,99.0,113
2014-09-07 08:00:00,,63.0,,2.0,101.0,113
2014-09-07 09:00:00,19.3,56.0,,2.3,122.0,113
2014-09-07 10:00:00,22.5,45.0,,2.2,118.0,113
2014-09-07 11:00:00,24.6,36.0,,2.2,24.0,113
2014-09-07 12:00:00,26.3,32.0,,2.0,360.0,113
2014-09-07 13:00:00,27.1,31.0,,2.4,314.0,113
2014-09-07 14:00:00,27.9,30.0,,2.5,248.0,113
2014-09-07 15:00:00,28.4,29.0,,2.3,201.0,113
2014-09-07 16:00:00,28.4,29.0,,2.7,217.0,113
2014-09-07 17:00:00,28.1,30.0,,3.1,238.0,113
2014-09-07 18:00:00,27.5,31.0,,2.4,230.0,113
2014-09-07 19:00:00,27.0,32.0,,1.8,199.0,113
2014-09-07 20:00:00,25.8,38.0,,3.0,226.0,113
2014-09-07 21:00:00,24.5,43.0,,2.7,225.0,113
2014-09-07 22:00:00,23.9,45.0,,1.9,220.0,113
2014-09-07 23:00:00,22.7,51.0,,2.0,115.0,113
2014-09-08 00:00:00,22.0,54.0,,1.4,109.0,113
2014-09-08 01:00:00,21.6,56.0,,1.0,266.0,113
2014-09-08 02:00:00,21.9,57.0,,1.3,242.0,113
2014-09-08 03:00:00,21.5,61.0,,2.3,218.0,113
2014-09-08 04:00:00,20.9,66.0,,2.3,226.0,113
2014-09-08 05:00:00,20.8,66.0,,1.6,216.0,113
