date,o3,no,no2,co,code
2014-09-01 00:00:00,,,,,119
2014-09-01 01:00:00,52.0,9.0,25.0,,119
2014-09-01 02:00:00,58.0,5.0,21.0,,119
2014-09-01 03:00:00,61.0,,,,119
2014-09-01 04:00:00,61.0,1.0,17.0,,119
2014-09-01 05:00:00,44.0,1.0,20.0,,119
2014-09-01 06:00:00,,1.0,22.0,,119
2014-09-01 07:00:00,7.0,19.0,50.0,,119
2014-09-01 08:00:00,2.0,74.0,58.0,,119
2014-09-01 09:00:00,10.0,44.0,57.0,,119
2014-09-01 10:00:00,23.0,40.0,73.0,,119
2014-09-01 11:00:00,16.0,53.0,86.0,,119
2014-09-01 12:00:00,33.0,20.0,61.0,,119
2014-09-01 13:00:00,57.0,12.0,43.0,,119
2014-09-01 14:00:00,57.0,17.0,64.0,,119
2014-09-01 15:00:00,56.0,14.0,53.0,,119
2014-09-01 16:00:00,54.0,11.0,57.0,,119
2014-09-01 17:00:00,30.0,22.0,75.0,,119
2014-09-01 18:00:00,13.0,40.0,81.0,,119
2014-09-01 19:00:00,6.0,27.0,59.0,,119
2014-09-01 20:00:00,4.0,16.0,43.0,,119
2014-09-01 21:00:00,3.0,24.0,43.0,,119
2014-09-01 22:00:00,1.0,56.0,43.0,,119
2014-09-01 23:00:00,1.0,76.0,41.0,,119
2014-09-02 00:00:00,1.0,76.0,37.0,,119
2014-09-02 01:00:00,1.0,69.0,36.0,,119
2014-09-02 02:00:00,1.0,38.0,38.0,,119
2014-09-02 03:00:00,1.0,,,,119
2014-09-02 04:00:00,1.0,71.0,35.0,,119
2014-09-02 05:00:00,0.0,41.0,35.0,,119
2014-09-02 06:00:00,,84.0,38.0,,119
2014-09-02 07:00:00,0.0,85.0,39.0,,119
2014-09-02 08:00:00,2.0,67.0,40.0,,119
2014-09-02 09:00:00,7.0,44.0,53.0,,119
2014-09-02 10:00:00,12.0,41.0,68.0,,119
2014-09-02 11:00:00,24.0,36.0,50.0,,119
2014-09-02 12:00:00,41.0,16.0,30.0,,119
2014-09-02 13:00:00,45.0,9.0,32.0,,119
2014-09-02 14:00:00,50.0,15.0,35.0,,119
2014-09-02 15:00:00,50.0,20.0,42.0,,119
2014-09-02 16:00:00,37.0,21.0,63.0,,119
2014-09-02 17:00:00,30.0,36.0,60.0,,119
2014-09-02 18:00:00,13.0,70.0,73.0,,119
2014-09-02 19:00:00,5.0,49.0,61.0,,119
2014-09-02 20:00:00,4.0,38.0,44.0,,119
2014-09-02 21:00:00,1.0,61.0,48.0,,119
2014-09-02 22:00:00,4.0,40.0,57.0,,119
2014-09-02 23:00:00,26.0,12.0,40.0,,119
2014-09-03 00:00:00,23.0,28.0,56.0,,119
2014-09-03 01:00:00,22.0,28.0,47.0,,119
2014-09-03 02:00:00,41.0,21.0,27.0,,119
2014-09-03 03:00:00,52.0,,,,119
2014-09-03 04:00:00,48.0,31.0,36.0,,119
2014-09-03 05:00:00,50.0,19.0,26.0,,119
2014-09-03 06:00:00,,26.0,30.0,,119
2014-09-03 07:00:00,51.0,13.0,21.0,,119
2014-09-03 08:00:00,46.0,9.0,28.0,,119
2014-09-03 09:00:00,32.0,15.0,39.0,,119
2014-09-03 10:00:00,15.0,47.0,63.0,,119
2014-09-03 11:00:00,21.0,28.0,52.0,,119
2014-09-03 12:00:00,39.0,12.0,35.0,,119
2014-09-03 13:00:00,60.0,4.0,20.0,,119
2014-09-03 14:00:00,50.0,4.0,24.0,,119
2014-09-03 15:00:00,46.0,4.0,26.0,,119
2014-09-03 16:00:00,46.0,6.0,24.0,,119
2014-09-03 17:00:00,40.0,6.0,31.0,,119
2014-09-03 18:00:00,36.0,2.0,33.0,,119
2014-09-03 19:00:00,8.0,81.0,64.0,,119
2014-09-03 20:00:00,12.0,56.0,45.0,,119
2014-09-03 21:00:00,41.0,2.0,25.0,,119
2014-09-03 22:00:00,33.0,10.0,37.0,,119
2014-09-03 23:00:00,17.0,22.0,48.0,,119
2014-09-04 00:00:00,15.0,23.0,48.0,,119
2014-09-04 01:00:00,13.0,27.0,46.0,,119
2014-09-04 02:00:00,10.0,26.0,59.0,,119
2014-09-04 03:00:00,14.0,,,,119
2014-09-04 04:00:00,33.0,20.0,30.0,,119
2014-09-04 05:00:00,54.0,2.0,5.0,,119
2014-09-04 06:00:00,,11.0,15.0,,119
2014-09-04 07:00:00,45.0,6.0,17.0,,119
2014-09-04 08:00:00,40.0,20.0,25.0,,119
2014-09-04 09:00:00,38.0,29.0,33.0,,119
2014-09-04 10:00:00,32.0,29.0,37.0,,119
2014-09-04 11:00:00,50.0,25.0,18.0,,119
2014-09-04 12:00:00,41.0,58.0,47.0,,119
2014-09-04 13:00:00,29.0,47.0,46.0,,119
2014-09-04 14:00:00,32.0,33.0,39.0,,119
2014-09-04 15:00:00,47.0,29.0,22.0,,119
2014-09-04 16:00:00,41.0,20.0,22.0,,119
2014-09-04 17:00:00,39.0,18.0,23.0,,119
2014-09-04 18:00:00,41.0,25.0,28.0,,119
2014-09-04 19:00:00,20.0,36.0,44.0,,119
2014-09-04 20:00:00,6.0,39.0,57.0,,119
2014-09-04 21:00:00,5.0,31.0,56.0,,119
2014-09-04 22:00:00,2.0,46.0,55.0,,119
2014-09-04 23:00:00,5.0,54.0,57.0,,119
2014-09-05 00:00:00,14.0,50.0,47.0,,119
2014-09-05 01:00:00,19.0,48.0,46.0,,119
2014-09-05 02:00:00,4.0,66.0,47.0,,119
2014-09-05 03:00:00,4.0,,,,119
2014-09-05 04:00:00,4.0,57.0,38.0,,119
2014-09-05 05:00:00,1.0,55.0,40.0,,119
