date,o3,no,no2,co,pm10,pm2.5,code
2018-09-01 00:00:00,,,,,,,263
2018-09-01 01:00:00,4.0,,,1.8,122.0,,263
2018-09-01 02:00:00,3.0,41.0,58.0,1.5,109.0,,263
2018-09-01 03:00:00,3.0,35.0,50.0,1.3,100.0,,263
2018-09-01 04:00:00,2.0,22.0,44.0,1.1,96.0,,263
2018-09-01 05:00:00,2.0,28.0,46.0,,85.0,,263
2018-09-01 06:00:00,,33.0,42.0,1.0,78.0,,263
2018-09-01 07:00:00,2.0,60.0,50.0,1.0,85.0,,263
2018-09-01 08:00:00,5.0,78.0,63.0,1.3,76.0,,263
2018-09-01 09:00:00,11.0,71.0,89.0,1.3,76.0,,263
2018-09-01 10:00:00,34.0,33.0,69.0,1.0,69.0,,263
2018-09-01 11:00:00,100.0,7.0,40.0,0.8,85.0,,263
2018-09-01 12:00:00,90.0,7.0,29.0,0.5,74.0,,263
2018-09-01 13:00:00,92.0,7.0,30.0,0.5,39.0,,263
2018-09-01 14:00:00,101.0,5.0,21.0,0.3,23.0,,263
2018-09-01 15:00:00,115.0,3.0,17.0,0.3,21.0,,263
2018-09-01 16:00:00,122.0,2.0,18.0,0.4,20.0,,263
2018-09-01 17:00:00,79.0,2.0,31.0,0.5,51.0,,263
2018-09-01 18:00:00,50.0,0.0,21.0,0.4,54.0,,263
2018-09-01 19:00:00,53.0,0.0,21.0,0.5,37.0,,263
2018-09-01 20:00:00,50.0,0.0,30.0,0.6,42.0,,263
2018-09-01 21:00:00,58.0,0.0,36.0,0.6,59.0,,263
2018-09-01 22:00:00,52.0,0.0,35.0,0.6,45.0,,263
2018-09-01 23:00:00,47.0,0.0,28.0,0.6,39.0,,263
2018-09-02 00:00:00,51.0,0.0,26.0,0.5,28.0,,263
2018-09-02 01:00:00,43.0,,,0.5,25.0,,263
2018-09-02 02:00:00,29.0,0.0,37.0,0.6,40.0,,263
2018-09-02 03:00:00,23.0,1.0,34.0,0.7,46.0,,263
2018-09-02 04:00:00,27.0,1.0,29.0,0.6,49.0,,263
2018-09-02 05:00:00,16.0,6.0,36.0,,39.0,,263
2018-09-02 06:00:00,,10.0,43.0,0.7,46.0,,263
2018-09-02 07:00:00,3.0,21.0,43.0,0.8,43.0,,263
2018-09-02 08:00:00,10.0,25.0,45.0,0.9,35.0,,263
2018-09-02 09:00:00,25.0,22.0,52.0,0.9,49.0,,263
2018-09-02 10:00:00,69.0,6.0,32.0,0.5,56.0,,263
2018-09-02 11:00:00,92.0,3.0,17.0,0.4,53.0,,263
2018-09-02 12:00:00,60.0,,,0.4,8.0,,263
2018-09-02 13:00:00,62.0,4.0,19.0,0.4,12.0,,263
2018-09-02 14:00:00,72.0,3.0,16.0,0.3,16.0,,263
