date,tc,rh,ws,wd,o3,no,no2,co,code,name,local_date
2030-10-01 00:00:00,24.03357,49.926514,2.3873775,119.12811,45.737137,0.9741607,115.70373,0.4510379,270,Marg.Tietê-Pte Remédios,2030-09-30 21:00:00-03:00
2030-10-01 01:00:00,23.374664,52.24827,2.043986,120.71564,9.0391035,6.62321,148.78596,0.5295811,270,Marg.Tietê-Pte Remédios,2030-09-30 22:00:00-03:00
2030-10-01 02:00:00,22.880005,53.53549,1.8165541,105.03049,0.014251214,45.761307,160.26392,0.64752406,270,Marg.Tietê-Pte Remédios,2030-09-30 23:00:00-03:00
2030-10-01 03:00:00,22.329681,52.433563,1.8336504,108.200424,1.6768546,19.388529,141.77081,0.49819723,270,Marg.Tietê-Pte Remédios,2030-10-01 00:00:00-03:00
2030-10-01 04:00:00,21.703064,53.974255,1.2071904,127.72874,0.0075607733,58.413666,140.65146,0.5816258,270,Marg.Tietê-Pte Remédios,2030-10-01 01:00:00-03:00
2030-10-01 05:00:00,21.271973,55.672905,1.2557849,134.23473,0.00019530024,85.17482,136.98813,0.62900555,270,Marg.Tietê-Pte Remédios,2030-10-01 02:00:00-03:00
2030-10-01 06:00:00,20.795746,59.17157,1.2196032,150.33553,0.0001528826,97.54206,129.44606,0.64569503,270,Marg.Tietê-Pte Remédios,2030-10-01 03:00:00-03:00
2030-10-01 07:00:00,20.319794,62.45833,1.0838189,133.85318,1.7420942e-05,118.43814,119.855255,0.6945446,270,Marg.Tietê-Pte Remédios,2030-10-01 04:00:00-03:00
2030-10-01 08:00:00,20.00647,62.54028,1.2129017,129.59222,0.00015024398,124.0308,109.55447,0.718639,270,Marg.Tietê-Pte Remédios,2030-10-01 05:00:00-03:00
2030-10-01 09:00:00,19.87259,63.498276,1.1806717,136.63428,0.2770441,143.27737,105.057945,0.86060894,270,Marg.Tietê-Pte Remédios,2030-10-01 06:00:00-03:00
2030-10-01 10:00:00,20.957306,60.101273,0.58284277,228.82924,6.3186975,144.55785,111.46228,1.020925,270,Marg.Tietê-Pte Remédios,2030-10-01 07:00:00-03:00
