date,tc,rh,ws,wd,o3,no,no2,co,code,name,local_date
2018-09-01 00:00:00,26.288055,37.819534,1.7457671,47.121376,17.397627,2.739642,58.409138,0.1754924,117,Paulínia,2018-08-31 21:00:00-03:00
2018-09-01 01:00:00,25.080444,40.158653,2.944665,65.95168,24.505838,1.8033375,44.316185,0.17159662,117,Paulínia,2018-08-31 22:00:00-03:00
2018-09-01 02:00:00,24.142181,45.60444,2.3744345,75.22549,18.473837,2.5113797,46.575203,0.17146397,117,Paulínia,2018-08-31 23:00:00-03:00
2018-09-01 03:00:00,23.165924,50.46554,2.1333096,72.32349,15.684129,2.9514177,47.94661,0.15913585,117,Paulínia,2018-09-01 00:00:00-03:00
2018-09-01 04:00:00,22.394348,53.181892,1.9442414,72.18989,9.729775,4.849554,53.125942,0.15438905,117,Paulínia,2018-09-01 01:00:00-03:00
2018-09-01 05:00:00,22.231049,52.764133,2.39722,73.816414,18.29611,2.480271,42.936832,0.14280395,117,Paulínia,2018-09-01 02:00:00-03:00
2018-09-01 06:00:00,21.683105,54.08457,1.2859217,41.33508,6.2548623,6.797146,54.182487,0.14490643,117,Paulínia,2018-09-01 03:00:00-03:00
2018-09-01 07:00:00,21.248444,55.403835,1.345887,35.507454,5.0096946,8.934054,55.68542,0.14322996,117,Paulínia,2018-09-01 04:00:00-03:00
2018-09-01 08:00:00,20.821198,55.694527,1.942021,39.612232,8.931789,6.4056582,50.0408,0.14756465,117,Paulínia,2018-09-01 05:00:00-03:00
2018-09-01 09:00:00,20.292084,56.864136,1.8784106,49.979675,11.143715,5.718944,47.509758,0.17431892,117,Paulínia,2018-09-01 06:00:00-03:00
2018-09-01 10:00:00,20.378448,56.4157,1.3194526,62.37034,14.174494,13.915551,46.229874,0.22361228,117,Paulínia,2018-09-01 07:00:00-03:00
2018-09-01 11:00:00,23.756622,45.40005,2.8981702,38.061928,34.56905,11.634302,31.364426,0.19788413,117,Paulínia,2018-09-01 08:00:00-03:00
2018-09-01 12:00:00,26.500702,38.396717,3.4632847,21.8615,56.832836,4.159771,13.74253,0.14237012,117,Paulínia,2018-09-01 09:00:00-03:00
2018-09-01 13:00:00,28.555359,33.88477,3.4660826,15.021355,73.74511,2.7183018,10.874391,0.13623017,117,Paulínia,2018-09-01 10:00:00-03:00
2018-09-01 14:00:00,30.197998,29.953466,3.2219038,11.285243,82.954414,1.9538598,8.6994,0.123344414,117,Paulínia,2018-09-01 11:00:00-03:00
2018-09-01 15:00:00,31.193329,27.266577,2.336328,19.89138,81.83791,1.710477,7.4851885,0.112135224,117,Paulínia,2018-09-01 12:00:00-03:00
2018-09-01 16:00:00,31.778076,25.291658,1.4606463,21.86337,81.57584,1.6868386,7.4484515,0.107576996,117,Paulínia,2018-09-01 13:00:00-03:00
2018-09-01 17:00:00,32.277893,24.274887,1.1515028,29.093433,83.74731,1.7272087,8.678729,0.11017957,117,Paulínia,2018-09-01 14:00:00-03:00
2018-09-01 18:00:00,32.503204,23.94385,1.1016132,28.051735,82.9661,1.5973197,10.230999,0.11275284,117,Paulínia,2018-09-01 15:00:00-03:00
2018-09-01 19:00:00,32.45929,23.946686,1.4223766,44.18546,79.912964,1.2019582,11.137062,0.11463886,117,Paulínia,2018-09-01 16:00:00-03:00
2018-09-01 20:00:00,32.04541,24.068453,2.1202545,63.202053,76.47343,0.76082414,13.328085,0.1213205,117,Paulínia,2018-09-01 17:00:00-03:00
2018-09-01 21:00:00,31.393066,24.746763,2.2070184,59.675858,66.56093,0.32382002,20.707766,0.13436721,117,Paulínia,2018-09-01 18:00:00-03:00
2018-09-01 22:00:00,30.195953,27.968868,2.5654702,67.046646,32.864853,1.220135,48.909817,0.19089173,117,Paulínia,2018-09-01 19:00:00-03:00
2018-09-01 23:00:00,28.137482,33.196774,2.9643981,68.19481,30.892887,1.382295,46.462276,0.19172232,117,Paulínia,2018-09-01 20:00:00-03:00
2018-09-02 00:00:00,27.058838,35.192318,3.1013823,61.156796,27.493715,1.6065778,44.59577,0.18067732,117,Paulínia,2018-09-01 21:00:00-03:00
2018-09-02 01:00:00,25.686737,38.64343,3.2359073,67.653915,29.25613,1.4423255,41.197937,0.16834445,117,Paulínia,2018-09-01 22:00:00-03:00
2018-09-02 02:00:00,25.168121,38.912907,3.2583065,37.204384,27.880213,1.5353162,43.289856,0.15937014,117,Paulínia,2018-09-01 23:00:00-03:00
2018-09-02 03:00:00,25.402222,36.144444,3.8358784,35.534534,40.083294,0.8688796,31.205286,0.14250153,117,Paulínia,2018-09-02 00:00:00-03:00
2018-09-02 04:00:00,24.198547,39.265186,2.3948088,56.968807,23.731852,1.8687027,44.443886,0.15010338,117,Paulínia,2018-09-02 01:00:00-03:00
2018-09-02 05:00:00,23.645294,39.606636,2.5698223,53.56626,22.246275,2.0449862,45.079586,0.14549546,117,Paulínia,2018-09-02 02:00:00-03:00
2018-09-02 06:00:00,23.938477,37.10728,4.2123137,37.932858,34.21011,1.1563164,30.681095,0.124896295,117,Paulínia,2018-09-02 03:00:00-03:00
2018-09-02 07:00:00,23.969055,37.484016,4.5609245,40.60633,40.929657,0.9166213,24.3554,0.12355712,117,Paulínia,2018-09-02 04:00:00-03:00
2018-09-02 08:00:00,23.665955,39.392258,4.7082314,40.771202,39.23907,1.1159685,25.665052,0.12919386,117,Paulínia,2018-09-02 05:00:00-03:00
2018-09-02 09:00:00,23.647034,41.822163,5.4913716,42.783348,49.145336,0.70018286,16.407324,0.13493428,117,Paulínia,2018-09-02 06:00:00-03:00
2018-09-02 10:00:00,23.700836,43.87876,5.2456865,40.667263,50.10999,1.6000599,14.697565,0.15278628,117,Paulínia,2018-09-02 07:00:00-03:00
2018-09-02 11:00:00,24.890808,41.437267,4.4622507,31.628584,53.508003,3.1438215,12.9517145,0.1561478,117,Paulínia,2018-09-02 08:00:00-03:00
2018-09-02 12:00:00,26.700928,36.693027,3.756741,20.25301,63.2666,3.4201689,12.737171,0.15875132,117,Paulínia,2018-09-02 09:00:00-03:00
2018-09-02 13:00:00,29.001617,31.354103,3.6000812,15.0639715,77.978615,2.494835,10.694274,0.14563045,117,Paulínia,2018-09-02 10:00:00-03:00
2018-09-02 14:00:00,30.89563,27.45761,3.899395,6.9178834,78.08841,1.8508649,7.766335,0.12062168,117,Paulínia,2018-09-02 11:00:00-03:00
2018-09-02 15:00:00,32.203674,23.54336,3.9832754,355.0377,75.72675,1.6724346,6.73381,0.10539516,117,Paulínia,2018-09-02 12:00:00-03:00
2018-09-02 16:00:00,32.785126,21.061262,3.7487864,346.22662,75.37584,1.4448926,5.9008303,0.09996769,117,Paulínia,2018-09-02 13:00:00-03:00
