date,tc,rh,sr,ws,wd,code
2018-10-01 00:00:00,,,,,,248
2018-10-01 01:00:00,19.8,99.0,0.0,1.5,356.0,248
2018-10-01 02:00:00,19.7,99.0,0.0,1.4,33.0,248
2018-10-01 03:00:00,19.7,99.0,0.0,1.7,27.0,248
2018-10-01 04:00:00,19.5,99.0,0.0,1.7,22.0,248
2018-10-01 05:00:00,19.4,99.0,0.0,1.2,54.0,248
2018-10-01 06:00:00,19.4,99.0,0.0,0.9,40.0,248
2018-10-01 07:00:00,19.6,99.0,20.0,1.2,40.0,248
2018-10-01 08:00:00,20.3,99.0,79.0,1.6,18.0,248
2018-10-01 09:00:00,21.3,98.0,216.0,1.7,11.0,248
2018-10-01 10:00:00,23.2,87.0,403.0,2.1,341.0,248
2018-10-01 11:00:00,24.9,76.0,553.0,2.3,340.0,248
2018-10-01 12:00:00,26.9,68.0,634.0,1.9,3.0,248
2018-10-01 13:00:00,28.5,57.0,781.0,3.0,324.0,248
2018-10-01 14:00:00,28.9,53.0,771.0,4.0,309.0,248
2018-10-01 15:00:00,28.9,52.0,610.0,3.6,301.0,248
2018-10-01 16:00:00,29.2,50.0,520.0,3.2,301.0,248
2018-10-01 17:00:00,29.2,49.0,261.0,1.8,245.0,248
2018-10-01 18:00:00,29.1,51.0,125.0,1.2,226.0,248
2018-10-01 19:00:00,27.0,54.0,3.0,0.0,777.0,248
2018-10-01 20:00:00,25.6,61.0,0.0,0.7,150.0,248
2018-10-01 21:00:00,24.6,69.0,0.0,0.8,110.0,248
2018-10-01 22:00:00,23.6,73.0,0.0,0.7,127.0,248
2018-10-01 23:00:00,23.0,76.0,0.0,1.5,101.0,248
2018-10-02 00:00:00,23.4,74.0,0.0,1.4,29.0,248
2018-10-02 01:00:00,22.8,75.0,0.0,1.1,80.0,248
2018-10-02 02:00:00,21.8,79.0,0.0,1.2,100.0,248
2018-10-02 03:00:00,22.1,79.0,0.0,1.6,47.0,248
2018-10-02 04:00:00,21.7,78.0,0.0,1.6,44.0,248
2018-10-02 05:00:00,21.3,79.0,0.0,1.7,39.0,248
2018-10-02 06:00:00,21.3,79.0,0.0,1.3,28.0,248
2018-10-02 07:00:00,21.4,78.0,26.0,1.3,18.0,248
2018-10-02 08:00:00,24.0,73.0,325.0,1.5,21.0,248
2018-10-02 09:00:00,26.0,64.0,523.0,1.9,16.0,248
2018-10-02 10:00:00,28.8,55.0,644.0,1.9,348.0,248
2018-10-02 11:00:00,30.4,48.0,876.0,2.4,17.0,248
2018-10-02 12:00:00,31.1,46.0,932.0,3.4,315.0,248
2018-10-02 13:00:00,31.9,44.0,992.0,3.1,304.0,248
2018-10-02 14:00:00,32.6,41.0,877.0,3.2,295.0,248
2018-10-02 15:00:00,32.9,40.0,670.0,2.8,287.0,248
2018-10-02 16:00:00,33.0,39.0,509.0,2.5,276.0,248
2018-10-02 17:00:00,32.3,40.0,221.0,2.3,258.0,248
2018-10-02 18:00:00,31.7,42.0,110.0,1.7,233.0,248
2018-10-02 19:00:00,29.8,47.0,2.0,1.3,215.0,248
2018-10-02 20:00:00,28.6,51.0,0.0,1.5,176.0,248
2018-10-02 21:00:00,27.2,57.0,0.0,1.2,134.0,248
2018-10-02 22:00:00,26.5,60.0,0.0,1.2,122.0,248
2018-10-02 23:00:00,25.6,64.0,0.0,1.9,100.0,248
2018-10-03 00:00:00,24.9,65.0,0.0,1.2,118.0,248
2018-10-03 01:00:00,24.9,65.0,0.0,1.4,49.0,248
2018-10-03 02:00:00,24.5,64.0,0.0,1.3,45.0,248
2018-10-03 03:00:00,24.1,64.0,0.0,1.1,33.0,248
2018-10-03 04:00:00,23.0,68.0,0.0,0.9,333.0,248
2018-10-03 05:00:00,22.4,71.0,0.0,0.8,340.0,248
2018-10-03 06:00:00,22.2,73.0,0.0,1.0,20.0,248
2018-10-03 07:00:00,22.3,73.0,64.0,1.0,341.0,248
2018-10-03 08:00:00,24.0,69.0,288.0,1.5,325.0,248
2018-10-03 09:00:00,27.1,61.0,482.0,1.7,312.0,248
