date,o3,no,no2,co,pm10,pm2.5,code
2018-10-01 00:00:00,,,,,,,270
2018-10-01 01:00:00,,,,0.9,31.0,16.0,270
2018-10-01 02:00:00,,39.0,65.0,0.6,26.0,21.0,270
2018-10-01 03:00:00,,43.0,61.0,0.5,26.0,10.0,270
2018-10-01 04:00:00,,70.0,57.0,0.5,21.0,11.0,270
2018-10-01 05:00:00,,118.0,74.0,,33.0,11.0,270
2018-10-01 06:00:00,,146.0,74.0,1.0,36.0,20.0,270
2018-10-01 07:00:00,,235.0,81.0,1.7,38.0,25.0,270
2018-10-01 08:00:00,,176.0,83.0,1.7,49.0,33.0,270
2018-10-01 09:00:00,,160.0,84.0,1.7,58.0,30.0,270
2018-10-01 10:00:00,,201.0,95.0,1.4,48.0,28.0,270
2018-10-01 11:00:00,,188.0,97.0,1.2,47.0,30.0,270
2018-10-01 12:00:00,,144.0,107.0,1.0,46.0,37.0,270
2018-10-01 13:00:00,,132.0,105.0,1.1,48.0,36.0,270
2018-10-01 14:00:00,,84.0,101.0,0.9,42.0,33.0,270
2018-10-01 15:00:00,,98.0,116.0,1.0,45.0,24.0,270
2018-10-01 16:00:00,,38.0,89.0,0.7,47.0,26.0,270
2018-10-01 17:00:00,,107.0,102.0,1.1,63.0,13.0,270
2018-10-01 18:00:00,,116.0,108.0,1.4,26.0,20.0,270
2018-10-01 19:00:00,,81.0,106.0,1.4,38.0,20.0,270
2018-10-01 20:00:00,,112.0,107.0,1.7,38.0,13.0,270
2018-10-01 21:00:00,,158.0,105.0,1.9,35.0,5.0,270
2018-10-01 22:00:00,,333.0,119.0,2.5,47.0,22.0,270
2018-10-01 23:00:00,,240.0,93.0,1.9,56.0,35.0,270
2018-10-02 00:00:00,,239.0,90.0,1.6,49.0,35.0,270
2018-10-02 01:00:00,,,,1.1,52.0,33.0,270
2018-10-02 02:00:00,,136.0,78.0,0.8,45.0,31.0,270
2018-10-02 03:00:00,,97.0,77.0,0.6,39.0,23.0,270
2018-10-02 04:00:00,,164.0,72.0,0.8,39.0,23.0,270
2018-10-02 05:00:00,,372.0,103.0,,57.0,39.0,270
2018-10-02 06:00:00,,268.0,91.0,1.3,74.0,42.0,270
2018-10-02 07:00:00,,195.0,74.0,1.2,72.0,44.0,270
2018-10-02 08:00:00,,164.0,89.0,1.4,41.0,30.0,270
2018-10-02 09:00:00,,100.0,98.0,1.2,22.0,32.0,270
2018-10-02 10:00:00,,161.0,119.0,1.4,26.0,29.0,270
2018-10-02 11:00:00,,121.0,121.0,1.1,48.0,43.0,270
2018-10-02 12:00:00,,153.0,122.0,1.1,30.0,38.0,270
2018-10-02 13:00:00,,118.0,115.0,1.0,28.0,30.0,270
2018-10-02 14:00:00,,93.0,117.0,0.9,32.0,27.0,270
2018-10-02 15:00:00,,90.0,118.0,0.9,41.0,21.0,270
2018-10-02 16:00:00,,44.0,89.0,0.7,33.0,20.0,270
2018-10-02 17:00:00,,2.0,57.0,0.7,58.0,7.0,270
2018-10-02 18:00:00,,1.0,60.0,0.7,80.0,16.0,270
2018-10-02 19:00:00,,1.0,52.0,0.7,92.0,33.0,270
2018-10-02 20:00:00,,1.0,36.0,0.6,71.0,29.0,270
2018-10-02 21:00:00,,17.0,91.0,0.9,50.0,23.0,270
2018-10-02 22:00:00,,8.0,73.0,0.7,50.0,29.0,270
2018-10-02 23:00:00,,3.0,85.0,0.6,45.0,26.0,270
2018-10-03 00:00:00,,8.0,92.0,0.7,49.0,32.0,270
2018-10-03 01:00:00,,,,0.8,60.0,37.0,270
