date,tc,rh,sr,ws,wd,code
2014-09-01 00:00:00,,,,,,116
2014-09-01 01:00:00,21.0,62.0,1.0,4.0,169.0,116
2014-09-01 02:00:00,20.8,64.0,1.0,3.5,167.0,116
2014-09-01 03:00:00,20.3,66.0,0.0,3.1,143.0,116
2014-09-01 04:00:00,20.2,66.0,0.0,3.1,122.0,116
2014-09-01 05:00:00,20.1,67.0,0.0,2.7,88.0,116
2014-09-01 06:00:00,19.6,68.0,0.0,2.8,74.0,116
2014-09-01 07:00:00,19.2,70.0,14.0,2.9,68.0,116
2014-09-01 08:00:00,19.7,69.0,136.0,2.4,68.0,116
2014-09-01 09:00:00,21.7,62.0,316.0,3.3,74.0,116
2014-09-01 10:00:00,24.9,52.0,493.0,3.5,95.0,116
2014-09-01 11:00:00,25.8,50.0,586.0,4.8,201.0,116
2014-09-01 12:00:00,26.0,51.0,802.0,4.3,177.0,116
2014-09-01 13:00:00,28.7,43.0,839.0,4.4,154.0,116
2014-09-01 14:00:00,29.9,39.0,815.0,4.6,135.0,116
2014-09-01 15:00:00,30.9,35.0,736.0,4.3,123.0,116
2014-09-01 16:00:00,31.7,33.0,553.0,3.4,108.0,116
2014-09-01 17:00:00,31.8,33.0,310.0,3.2,103.0,116
2014-09-01 18:00:00,30.4,35.0,80.0,2.6,87.0,116
2014-09-01 19:00:00,28.9,39.0,2.0,1.9,83.0,116
2014-09-01 20:00:00,27.6,42.0,1.0,1.3,83.0,116
2014-09-01 21:00:00,26.8,44.0,0.0,1.3,89.0,116
2014-09-01 22:00:00,26.0,46.0,0.0,1.5,91.0,116
2014-09-01 23:00:00,25.1,48.0,0.0,2.3,120.0,116
2014-09-02 00:00:00,24.6,49.0,0.0,2.0,105.0,116
2014-09-02 01:00:00,24.2,50.0,0.0,1.5,94.0,116
2014-09-02 02:00:00,23.7,53.0,0.0,1.5,83.0,116
2014-09-02 03:00:00,22.9,55.0,0.0,1.6,62.0,116
2014-09-02 04:00:00,22.2,58.0,0.0,1.3,83.0,116
2014-09-02 05:00:00,21.9,59.0,0.0,1.3,86.0,116
2014-09-02 06:00:00,21.5,61.0,0.0,1.6,75.0,116
2014-09-02 07:00:00,21.2,63.0,14.0,1.8,80.0,116
2014-09-02 08:00:00,22.0,62.0,159.0,1.8,71.0,116
2014-09-02 09:00:00,24.4,56.0,356.0,2.8,70.0,116
2014-09-02 10:00:00,27.8,46.0,573.0,3.6,68.0,116
2014-09-02 11:00:00,30.9,35.0,753.0,4.3,70.0,116
2014-09-02 12:00:00,32.6,32.0,832.0,4.6,57.0,116
2014-09-02 13:00:00,33.9,30.0,853.0,4.3,48.0,116
2014-09-02 14:00:00,34.8,30.0,810.0,3.3,39.0,116
2014-09-02 15:00:00,35.5,30.0,696.0,3.1,33.0,116
