date,o3,no,no2,co,pm10,pm2.5,code
2018-09-01 00:00:00,,,,,,,73
2018-09-01 01:00:00,,146.0,122.0,1.8,90.0,57.0,73
2018-09-01 02:00:00,,236.0,116.0,2.3,93.0,58.0,73
2018-09-01 03:00:00,,198.0,103.0,2.2,117.0,68.0,73
2018-09-01 04:00:00,,162.0,89.0,1.8,98.0,65.0,73
2018-09-01 05:00:00,,141.0,75.0,1.7,95.0,63.0,73
2018-09-01 06:00:00,,214.0,89.0,2.0,104.0,67.0,73
2018-09-01 07:00:00,,47.0,76.0,0.9,77.0,52.0,73
2018-09-01 08:00:00,,58.0,80.0,1.1,61.0,43.0,73
2018-09-01 09:00:00,,45.0,95.0,1.1,54.0,28.0,73
2018-09-01 10:00:00,,27.0,93.0,0.9,57.0,28.0,73
2018-09-01 11:00:00,,14.0,75.0,0.7,49.0,24.0,73
2018-09-01 12:00:00,,10.0,69.0,0.7,37.0,12.0,73
2018-09-01 13:00:00,,6.0,44.0,0.6,34.0,12.0,73
2018-09-01 14:00:00,,11.0,60.0,0.7,31.0,10.0,73
2018-09-01 15:00:00,,7.0,41.0,0.5,26.0,6.0,73
2018-09-01 16:00:00,,22.0,94.0,0.7,32.0,16.0,73
2018-09-01 17:00:00,,37.0,90.0,0.9,95.0,41.0,73
2018-09-01 18:00:00,,35.0,60.0,0.8,46.0,41.0,73
2018-09-01 19:00:00,,33.0,64.0,0.7,27.0,26.0,73
2018-09-01 20:00:00,,40.0,76.0,0.9,21.0,18.0,73
2018-09-01 21:00:00,,46.0,82.0,1.0,33.0,19.0,73
2018-09-01 22:00:00,,23.0,74.0,0.8,31.0,19.0,73
2018-09-01 23:00:00,,24.0,71.0,0.8,35.0,20.0,73
2018-09-02 00:00:00,,18.0,63.0,0.7,36.0,34.0,73
2018-09-02 01:00:00,,1.0,45.0,0.4,61.0,53.0,73
2018-09-02 02:00:00,,3.0,54.0,0.5,66.0,57.0,73
2018-09-02 03:00:00,,5.0,60.0,0.7,66.0,52.0,73
2018-09-02 04:00:00,,5.0,57.0,0.7,47.0,45.0,73
2018-09-02 05:00:00,,,,0.5,40.0,33.0,73
2018-09-02 06:00:00,,7.0,52.0,0.7,40.0,27.0,73
2018-09-02 07:00:00,,16.0,57.0,0.7,42.0,33.0,73
2018-09-02 08:00:00,,13.0,47.0,0.6,34.0,27.0,73
2018-09-02 09:00:00,,6.0,36.0,0.5,31.0,17.0,73
2018-09-02 10:00:00,,6.0,38.0,0.5,37.0,19.0,73
2018-09-02 11:00:00,,11.0,58.0,0.7,44.0,21.0,73
2018-09-02 12:00:00,,4.0,48.0,0.8,40.0,22.0,73
2018-09-02 13:00:00,,6.0,41.0,0.5,35.0,20.0,73
2018-09-02 14:00:00,,9.0,51.0,0.7,42.0,26.0,73
2018-09-02 15:00:00,,10.0,52.0,0.7,40.0,18.0,73
2018-09-02 16:00:00,,12.0,65.0,0.7,45.0,27.0,73
2018-09-02 17:00:00,,27.0,62.0,0.8,64.0,29.0,73
2018-09-02 18:00:00,,27.0,50.0,0.7,33.0,29.0,73
2018-09-02 19:00:00,,38.0,58.0,0.9,27.0,21.0,73
2018-09-02 20:00:00,,26.0,51.0,0.7,16.0,12.0,73
2018-09-02 21:00:00,,36.0,66.0,0.8,15.0,16.0,73
2018-09-02 22:00:00,,42.0,68.0,0.8,27.0,17.0,73
2018-09-02 23:00:00,,11.0,49.0,0.6,23.0,18.0,73
2018-09-03 00:00:00,,50.0,63.0,0.7,15.0,12.0,73
2018-09-03 01:00:00,,24.0,46.0,0.4,38.0,27.0,73
2018-09-03 02:00:00,,15.0,35.0,0.3,28.0,18.0,73
2018-09-03 03:00:00,,32.0,59.0,0.3,24.0,13.0,73
2018-09-03 04:00:00,,48.0,68.0,0.3,26.0,18.0,73
2018-09-03 05:00:00,,,,0.4,34.0,21.0,73
2018-09-03 06:00:00,,42.0,59.0,0.8,27.0,15.0,73
2018-09-03 07:00:00,,72.0,61.0,1.0,28.0,17.0,73
2018-09-03 08:00:00,,60.0,66.0,0.9,26.0,19.0,73
2018-09-03 09:00:00,,47.0,75.0,0.9,30.0,17.0,73
2018-09-03 10:00:00,,44.0,86.0,1.0,37.0,13.0,73
2018-09-03 11:00:00,,38.0,83.0,1.0,53.0,25.0,73
2018-09-03 12:00:00,,23.0,72.0,0.9,41.0,24.0,73
2018-09-03 13:00:00,,23.0,66.0,0.9,41.0,20.0,73
2018-09-03 14:00:00,,19.0,61.0,0.9,37.0,27.0,73
2018-09-03 15:00:00,,25.0,59.0,0.9,44.0,16.0,73
2018-09-03 16:00:00,,23.0,49.0,0.9,31.0,11.0,73
2018-09-03 17:00:00,,23.0,48.0,0.8,24.0,10.0,73
2018-09-03 18:00:00,,22.0,46.0,1.0,18.0,10.0,73
2018-09-03 19:00:00,,17.0,43.0,1.0,21.0,9.0,73
2018-09-03 20:00:00,,12.0,37.0,0.7,12.0,8.0,73
2018-09-03 21:00:00,,13.0,28.0,0.5,6.0,7.0,73
2018-09-03 22:00:00,,54.0,48.0,0.6,9.0,6.0,73
2018-09-03 23:00:00,,35.0,42.0,0.5,13.0,10.0,73
2018-09-04 00:00:00,,24.0,37.0,0.4,14.0,3.0,73
2018-09-04 01:00:00,,22.0,32.0,0.2,16.0,8.0,73
2018-09-04 02:00:00,,18.0,29.0,0.2,9.0,6.0,73
2018-09-04 03:00:00,,23.0,29.0,0.2,13.0,6.0,73
2018-09-04 04:00:00,,27.0,32.0,0.2,11.0,9.0,73
2018-09-04 05:00:00,,,,0.2,13.0,4.0,73
2018-09-04 06:00:00,,23.0,30.0,0.5,5.0,5.0,73
2018-09-04 07:00:00,,38.0,38.0,0.6,11.0,5.0,73
2018-09-04 08:00:00,,61.0,42.0,0.8,13.0,10.0,73
2018-09-04 09:00:00,,39.0,38.0,0.8,16.0,3.0,73
2018-09-04 10:00:00,,41.0,38.0,0.8,11.0,2.0,73
2018-09-04 11:00:00,,47.0,43.0,0.8,21.0,8.0,73
2018-09-04 12:00:00,,54.0,53.0,0.9,28.0,12.0,73
2018-09-04 13:00:00,,49.0,50.0,0.7,17.0,11.0,73
2018-09-04 14:00:00,,51.0,50.0,0.7,26.0,11.0,73
2018-09-04 15:00:00,,55.0,59.0,0.8,13.0,12.0,73
2018-09-04 16:00:00,,62.0,59.0,0.9,13.0,9.0,73
2018-09-04 17:00:00,,56.0,60.0,1.0,18.0,5.0,73
2018-09-04 18:00:00,,43.0,55.0,0.9,16.0,7.0,73
2018-09-04 19:00:00,,40.0,55.0,0.9,9.0,6.0,73
2018-09-04 20:00:00,,41.0,61.0,0.9,14.0,6.0,73
2018-09-04 21:00:00,,37.0,62.0,0.8,13.0,5.0,73
2018-09-04 22:00:00,,114.0,83.0,0.7,15.0,8.0,73
2018-09-04 23:00:00,,99.0,76.0,0.6,25.0,12.0,73
2018-09-05 00:00:00,,84.0,72.0,0.5,38.0,17.0,73
2018-09-05 01:00:00,,66.0,64.0,0.4,29.0,12.0,73
2018-09-05 02:00:00,,41.0,53.0,0.2,21.0,11.0,73
2018-09-05 03:00:00,,30.0,47.0,0.2,13.0,7.0,73
2018-09-05 04:00:00,,47.0,56.0,0.2,29.0,13.0,73
2018-09-05 05:00:00,,,,0.3,31.0,14.0,73
2018-09-05 06:00:00,,46.0,54.0,0.5,33.0,11.0,73
2018-09-05 07:00:00,,103.0,73.0,0.9,27.0,7.0,73
2018-09-05 08:00:00,,92.0,68.0,0.9,23.0,12.0,73
2018-09-05 09:00:00,,57.0,60.0,0.9,26.0,9.0,73
2018-09-05 10:00:00,,75.0,70.0,1.0,27.0,4.0,73
2018-09-05 11:00:00,,70.0,63.0,0.9,21.0,10.0,73
2018-09-05 12:00:00,,65.0,63.0,0.8,15.0,7.0,73
2018-09-05 13:00:00,,62.0,62.0,0.8,20.0,5.0,73
2018-09-05 14:00:00,,61.0,70.0,0.8,18.0,12.0,73
2018-09-05 15:00:00,,93.0,78.0,0.9,17.0,4.0,73
2018-09-05 16:00:00,,105.0,84.0,1.1,25.0,14.0,73
2018-09-05 17:00:00,,110.0,84.0,1.2,22.0,14.0,73
2018-09-05 18:00:00,,89.0,78.0,1.3,38.0,15.0,73
2018-09-05 19:00:00,,100.0,80.0,1.6,44.0,18.0,73
2018-09-05 20:00:00,,83.0,80.0,1.1,27.0,17.0,73
