date,tc,rh,sr,ws,wd,code
2016-01-01 00:00:00,,,,,,276
2016-01-01 01:00:00,21.6,100.0,0.0,1.4,358.0,276
2016-01-01 02:00:00,21.5,100.0,0.0,1.0,348.0,276
2016-01-01 03:00:00,21.4,100.0,0.0,0.9,31.0,276
2016-01-01 04:00:00,21.3,100.0,0.0,0.7,39.0,276
2016-01-01 05:00:00,21.0,100.0,0.0,0.5,38.0,276
2016-01-01 06:00:00,20.6,100.0,0.0,0.4,64.0,276
2016-01-01 07:00:00,20.6,100.0,11.0,0.5,324.0,276
2016-01-01 08:00:00,21.5,100.0,104.0,0.7,315.0,276
2016-01-01 09:00:00,23.1,96.0,331.0,1.4,324.0,276
2016-01-01 10:00:00,24.6,89.0,324.0,1.6,317.0,276
2016-01-01 11:00:00,26.1,82.0,749.0,1.7,336.0,276
2016-01-01 12:00:00,27.2,75.0,694.0,1.4,287.0,276
2016-01-01 13:00:00,28.8,67.0,1040.0,1.8,284.0,276
2016-01-01 14:00:00,28.8,68.0,754.0,1.9,286.0,276
2016-01-01 15:00:00,30.2,62.0,939.0,1.5,331.0,276
2016-01-01 16:00:00,29.3,65.0,419.0,1.8,335.0,276
2016-01-01 17:00:00,23.8,96.0,55.0,2.0,203.0,276
2016-01-01 18:00:00,23.9,99.0,88.0,0.8,69.0,276
2016-01-01 19:00:00,24.6,99.0,89.0,0.8,78.0,276
2016-01-01 20:00:00,25.3,93.0,41.0,1.1,98.0,276
2016-01-01 21:00:00,24.6,97.0,0.0,1.2,110.0,276
2016-01-01 22:00:00,24.2,97.0,0.0,0.9,39.0,276
2016-01-01 23:00:00,23.6,95.0,0.0,0.9,95.0,276
2016-01-02 00:00:00,22.8,100.0,0.0,0.4,129.0,276
2016-01-02 01:00:00,22.9,100.0,0.0,0.4,52.0,276
2016-01-02 02:00:00,23.3,99.0,0.0,0.9,323.0,276
2016-01-02 03:00:00,23.1,100.0,0.0,0.9,14.0,276
2016-01-02 04:00:00,22.9,100.0,0.0,0.7,343.0,276
2016-01-02 05:00:00,22.7,100.0,0.0,0.4,269.0,276
2016-01-02 06:00:00,22.5,100.0,0.0,0.9,321.0,276
2016-01-02 07:00:00,21.9,100.0,2.0,0.9,60.0,276
2016-01-02 08:00:00,21.5,100.0,27.0,0.5,64.0,276
2016-01-02 09:00:00,22.1,100.0,80.0,0.5,19.0,276
2016-01-02 10:00:00,23.1,99.0,285.0,1.3,40.0,276
2016-01-02 11:00:00,24.5,92.0,356.0,1.5,34.0,276
2016-01-02 12:00:00,25.2,88.0,404.0,1.5,319.0,276
2016-01-02 13:00:00,26.2,83.0,497.0,1.8,310.0,276
2016-01-02 14:00:00,27.0,79.0,681.0,1.5,291.0,276
2016-01-02 15:00:00,28.5,70.0,732.0,1.4,301.0,276
2016-01-02 16:00:00,29.2,66.0,682.0,1.4,299.0,276
2016-01-02 17:00:00,27.4,73.0,135.0,3.1,151.0,276
2016-01-02 18:00:00,25.7,81.0,238.0,1.7,136.0,276
2016-01-02 19:00:00,26.3,77.0,90.0,1.9,122.0,276
2016-01-02 20:00:00,25.8,83.0,71.0,2.0,115.0,276
2016-01-02 21:00:00,24.9,88.0,0.0,2.1,113.0,276
2016-01-02 22:00:00,24.4,86.0,0.0,2.2,102.0,276
2016-01-02 23:00:00,24.1,86.0,0.0,2.5,96.0,276
2016-01-03 00:00:00,23.4,87.0,0.0,1.6,102.0,276
2016-01-03 01:00:00,23.1,90.0,0.0,1.3,103.0,276
2016-01-03 02:00:00,23.0,90.0,0.0,1.4,112.0,276
2016-01-03 03:00:00,22.9,89.0,0.0,1.8,118.0,276
2016-01-03 04:00:00,22.7,89.0,0.0,1.7,117.0,276
2016-01-03 05:00:00,22.5,89.0,0.0,1.5,97.0,276
2016-01-03 06:00:00,22.7,88.0,0.0,1.5,114.0,276
2016-01-03 07:00:00,22.5,90.0,4.0,1.4,90.0,276
2016-01-03 08:00:00,22.7,89.0,77.0,1.6,116.0,276
2016-01-03 09:00:00,23.7,84.0,252.0,2.0,82.0,276
2016-01-03 10:00:00,24.2,82.0,336.0,2.5,78.0,276
2016-01-03 11:00:00,25.3,79.0,425.0,2.3,81.0,276
2016-01-03 12:00:00,25.9,76.0,411.0,2.2,92.0,276
2016-01-03 13:00:00,26.0,75.0,424.0,1.9,88.0,276
2016-01-03 14:00:00,26.3,75.0,430.0,2.3,130.0,276
2016-01-03 15:00:00,26.5,77.0,498.0,2.7,139.0,276
2016-01-03 16:00:00,27.3,72.0,629.0,2.6,108.0,276
2016-01-03 17:00:00,27.3,69.0,338.0,2.7,115.0,276
2016-01-03 18:00:00,26.9,72.0,149.0,2.8,115.0,276
2016-01-03 19:00:00,26.0,74.0,43.0,3.0,121.0,276
2016-01-03 20:00:00,25.2,76.0,13.0,2.9,111.0,276
