N  SPECIES (* especies nao consideradas no split)
1   e_eth
2   e_hc3
3   e_hc5
4   e_hc8
5   e_ol2
6   e_olt
7   e_oli
8   e_iso
9   e_tol
10  e_xyl
11  e_ket
12  e_ch3oh
13  e_c2h5oh *
14  e_hcho *
15  e_ald *
--- N --;;------- GASOLINE --------;;-------- ALCOOL ---------;;-------- DIESEL ---------; mol/100 g
          VAPORS   LIQUID   EXHAUST  VAPORS   LIQUID   EXHAUST  VAPORS   LIQUID   EXHAUST
    1    0.025000 0.000000 0.282625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
    2    0.240000 0.213150 0.435206 0.000000 0.000000 0.000000 0.000000 0.000000 0.048995
    3    0.450000 0.157299 0.158620 0.000000 0.000000 0.977799 0.000000 0.000000 0.057741
    4    0.000000 0.192629 0.076538 0.000000 0.000000 0.000000 0.000000 0.000000 0.296627
    5    0.038240 0.000000 0.341600 0.000000 0.000000 0.948944 0.000000 0.000000 0.318889
    6    0.200000 0.082045 0.143212 0.000000 0.000000 0.076220 0.000000 0.000000 0.385318
    7    0.460000 0.179849 0.161406 0.000000 0.000000 0.076220 0.000000 0.000000 0.000000
    8    0.000000 0.001146 0.004554 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
    9    0.085000 0.058353 0.140506 0.000000 0.000000 0.015079 0.000000 0.000000 0.235115
   10    0.000000 0.119330 0.157456 0.000000 0.000000 0.039490 0.000000 0.000000 0.008360
   11    0.000000 0.000000 0.000083 0.000066 0.000066 0.016767 0.000000 0.000000 0.000012
   12    0.000000 0.000000 0.001841 0.002200 0.002200 0.005539 0.000000 0.000000 0.000003
   13    0.350000 0.605079 0.000000 2.170610 2.170610 0.000000 0.000000 0.000000 0.000000
   14    0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
   15    0.000000 0.059507 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
